Handle,Title,,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
fallout-76-xbox-one,Fallout 76 - Xbox One,,The Underground Games,game,,true,Title,Default Title,,,,,6255281,91,shopify,1,deny,manual,39.99,59.99,true,true,93155173040,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6255281_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1540081835,1,,false,,,,,,,,,,,,,,,,,lb,,
fallout-76-playstation-4,Fallout 76 - PlayStation 4,,The Underground Games,game,,true,Title,Default Title,,,,,6255265,91,shopify,1,deny,manual,39.99,59.99,true,true,93155173057,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6255265_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1540081623,1,,false,,,,,,,,,,,,,,,,,lb,,
fallout-76-tricentennial-edition-playstation-4,Fallout 76 Tricentennial Edition - PlayStation 4,,The Underground Games,game,,true,Title,Default Title,,,,,6255273,91,shopify,1,deny,manual,59.99,79.99,true,true,93155173118,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6255273_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1540081108,1,,false,,,,,,,,,,,,,,,,,lb,,
fallout-76-tricentennial-edition-xbox-one,Fallout 76 Tricentennial Edition - Xbox One,,The Underground Games,game,,true,Title,Default Title,,,,,6255287,91,shopify,1,deny,manual,59.99,79.99,true,true,93155173101,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6255287_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1540080744,1,,false,,,,,,,,,,,,,,,,,lb,,
fallout-4-game-of-the-year-edition-xbox-one,Fallout 4: Game of the Year Edition - Xbox One,,The Underground Games,game,,true,Title,Default Title,,,,,6065207,91,shopify,1,deny,manual,24.99,59.99,true,true,93155172517,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6065207_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533669210,1,,false,,,,,,,,,,,,,,,,,lb,,
fallout-4-game-of-the-year-edition-playstation-4,Fallout 4: Game of the Year Edition - PlayStation 4,,The Underground Games,game,,true,Title,Default Title,,,,,6065210,91,shopify,1,deny,manual,24.99,59.99,true,true,93155172524,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6065210_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533669097,1,,false,,,,,,,,,,,,,,,,,lb,,
the-elder-scrolls-v-skyrim-vr-playstation-4,The Elder Scrolls V: Skyrim VR - PlayStation 4,,The Underground Games,game,,true,Title,Default Title,,,,,5927600,91,shopify,1,deny,manual,29.99,59.99,true,true,93155172579,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5927600_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533668969,1,,false,,,,,,,,,,,,,,,,,lb,,
the-elder-scrolls-v-skyrim-special-edition-xbox-one,The Elder Scrolls V: Skyrim Special Edition - Xbox One,,The Underground Games,game,,true,Title,Default Title,,,,,5357106,91,shopify,1,deny,manual,19.99,39.99,true,true,93155171244,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5357106_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533668844,1,,false,,,,,,,,,,,,,,,,,lb,,
the-elder-scrolls-v-skyrim-special-edition-playstation-4,The Elder Scrolls V: Skyrim Special Edition - PlayStation 4,,The Underground Games,game,,true,Title,Default Title,,,,,5357201,91,shopify,1,deny,manual,19.99,39.99,true,true,93155171251,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5357201_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533668724,1,,false,,,,,,,,,,,,,,,,,lb,,
the-elder-scrolls-v-skyrim-nintendo-switch,The Elder Scrolls V: Skyrim - Nintendo Switch,,The Underground Games,game,,true,Title,Default Title,,,,,5722101,91,shopify,1,deny,manual,59.99,,true,true,45496591663,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5722101_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533668186,1,,false,,,,,,,,,,,,,,,,,lb,,
arms-nintendo-switch,Arms - Nintendo Switch,,The Underground Games,game,,true,Title,Default Title,,,,,5721505,91,shopify,1,deny,manual,59.99,,true,true,45496590529,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5721505_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533668044,1,,false,,,,,,,,,,,,,,,,,lb,,
mario-rabbids-kingdom-battle-nintendo-switch,Mario + Rabbids Kingdom Battle - Nintendo Switch,,The Underground Games,game,,true,Title,Default Title,,,,,5909500,91,shopify,1,deny,manual,19.99,59.99,true,true,887256028299,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5909500_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533667735,1,,false,,,,,,,,,,,,,,,,,lb,,
lego-the-incredibles-nintendo-switch,LEGO The Incredibles - Nintendo Switch,,The Underground Games,game,,true,Title,Default Title,,,,,6228650,91,shopify,1,deny,manual,19.99,59.99,true,true,883929633029,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6228650_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533667520,1,,false,,,,,,,,,,,,,,,,,lb,,
